key,message,comment,context
Client Situation,Situation comptable,,resources/views/Partner.xml:13
Close cashier,Fermer caisse,,resources/views/CashRegisterLine.xml:35
Close fiscal year,Clôturer l'exercice,,resources/views/Year.xml:27
Closed,Fermé(e),,"resources/views/Selects.xml:84
resources/views/Selects.xml:52"
Clé RIB incorrecte,Clé RIB incorrecte,,resources/views/BankDetails.xml:65
Code,Code,,"resources/domains/MoveTemplateType.xml:10
resources/domains/MoveTemplate.xml:10"
Commitment,Engagement,,resources/views/Selects.xml:22
Company,Société,,"resources/domains/MoveTemplate.xml:12
resources/views/MoveTemplate.xml:47"
Comptes Comptables,Comptes Comptables,,resources/views/Account.xml:15
Comptes analytiques,Comptes Analytiques,,resources/views/AccountManagement.xml:54
Compute,Calculer,,"resources/views/Invoice.xml:129
resources/views/BankStatement.xml:43"
Conditions,Conditions,,resources/views/ReminderMethodLine.xml:20
Configuration,Configuration,,"resources/views/menu.xml:377
resources/views/menu.xml:309
resources/views/AccountConfig.xml:111"
Confirm payment,Confirmer le paiement,,resources/views/PaymentVoucher.xml:34
Confirmed,Confirmé(e),,"resources/views/Selects.xml:16
resources/views/Selects.xml:51
resources/views/Reconcile.xml:60
resources/views/Selects.xml:45"
Confirmed Customer payments,Paiements Clients confirmés,,resources/views/PaymentVoucher.xml:225
Confirmed Supplier payments,Règlements Fournisseurs confirmés,,resources/views/PaymentVoucher.xml:243
Contact,Coordonnées,,resources/views/Partner.xml:81
Contacts details,Coordonnées,,resources/views/Partner.xml:71
Country,Pays,,resources/views/charts.xml:231
Create Cust. Payment,Créer Paiement Client,,resources/views/menu.xml:166
Create Cust. Refund,Créer Remb./Avoir Client,,resources/views/menu.xml:178
Create Suppl. Payment,Créer Paiement Fact. Fourn.,,resources/views/menu.xml:190
Create Suppl. Refund,Créer Avoir Fourn.,,resources/views/menu.xml:202
Create call,Créer Appel,,resources/views/Partner.xml:17
Create opportunity,Créer Opportunité,,resources/views/Partner.xml:20
Create schedule lines,Créer Lignes d'échéancier,,resources/views/PaymentSchedule.xml:37
Create task,Créer Tâche,,resources/views/Partner.xml:19
Created by,Créé(e) par,,"resources/views/AccountingBatch.xml:63
resources/views/InvoiceBatch.xml:39
resources/views/InvoiceBatch.xml:13"
Created on,Créé(e) le,,"resources/views/InvoiceBatch.xml:38
resources/views/InvoiceBatch.xml:12
resources/views/AccountingBatch.xml:62"
Credit,Crédit,,resources/views/Selects.xml:218
Credit remaining,Crédit restant à réconcilier,,"resources/views/Reconcile.xml:23
resources/views/Reconcile.xml:10"
Currency,Devise,,resources/views/charts.xml:675
Current Asset,"Actif courants (stock, encours...)",,resources/views/Selects.xml:23
Current Period Entries,Ecritures Période en cours,,resources/views/Move.xml:149
Cust. Invoices,Factures de vente des clients,,"resources/views/menu.xml:39
resources/views/menu.xml:687
resources/views/menu.xml:42
resources/views/menu.xml:690"
Cust. Payments,Paiements Clients,,"resources/views/menu.xml:801
resources/views/menu.xml:798"
Cust. Refunds,Avoirs Clients,,"resources/views/menu.xml:52
resources/views/menu.xml:698
resources/views/menu.xml:701
resources/views/menu.xml:55"
Customer,Client,,"resources/views/Selects.xml:207
resources/views/IrrecoverableCustomerLine.xml:10
resources/views/Selects.xml:107"
Customer Invoices remaining To Collect,Factures clients non soldées,,resources/views/portal.xml:133
Customer Paybox payments,Paiements Clients Paybox,,resources/views/PaymentVoucher.xml:231
Customer Payment mode by amount,Mode paiement client par montant,,"resources/views/charts.xml:437
resources/views/portal.xml:149"
Customer Payment mode distribution by amount,Répartition des modes de paiement par montant,,"resources/views/portal.xml:144
resources/views/charts.xml:408"
Customer Payment mode distribution by transactions,Répartition des modes de paiement par nbre transactions,,"resources/views/portal.xml:139
resources/views/charts.xml:365"
Customer Turnover history by month (on invoices),CA par mois (sur facture),,"resources/views/portal.xml:86
resources/views/charts.xml:56"
Customer balance,Solde client,,"resources/views/Partner.xml:114
resources/views/AccountingSituation.xml:44
resources/views/AccountingSituation.xml:19"
Customer invoices filters,Factures clients,,resources/views/Invoice.xml:342
Customer payments,Paiements Clients,,resources/views/PaymentVoucher.xml:219
Customer payments with remaining,Paiements Clients avec reste,,resources/views/PaymentVoucher.xml:228
Customer refund,Avoir client,,resources/views/Selects.xml:102
Customer refunds,Remboursements Clients,,resources/views/PaymentVoucher.xml:234
Customer refunds filters,Filtres Remboursements Clients,,resources/views/Invoice.xml:366
Customer sale,Vente client,,resources/views/Selects.xml:101
Customers,Clients,,resources/views/IrrecoverableCustomerLine.xml:6
Date,Date,,"resources/views/MoveTemplate.xml:52
resources/views/MoveTemplate.xml:58"
Date can't be ahead of today,La date saisie ne peut être supérieure à la date du jour,,resources/views/MoveTemplate.xml:72
Dates,Dates,,"resources/views/Invoice.xml:186
resources/views/Invoice.xml:41"
Debit,Débit,,resources/views/Selects.xml:217
Debit and credit value cannot be negative.,La valeur au débit ou au crédit ne peut être négative.,,resources/views/MoveLine.xml:147
Debit remaining,Débit restant à réconcilier,,"resources/views/Reconcile.xml:22
resources/views/Reconcile.xml:8"
Debited invoices,Factures prélevées,,resources/views/Invoice.xml:224
Debt,Dette,,resources/views/Selects.xml:24
Debt Recovery,Recouvrement,,resources/views/Invoice.xml:79
Debt recovery,Recouvrement,,resources/views/menu.xml:296
Description,Description,,"resources/views/InterbankCodeLine.xml:18
resources/views/InterbankCode.xml:16
resources/views/InterbankCode.xml:31"
Direct Debit Batch,Batch Prélèvements,,resources/views/AccountingBatch.xml:69
Direct debit,Prélèvement,,"resources/views/Selects.xml:190
resources/views/AccountConfig.xml:89
resources/views/Selects.xml:129
resources/views/Invoice.xml:111"
Direct debit blocking,Blocage prélèvement,,resources/views/Invoice.xml:94
Direct debit configuration,Configuration des prélèvements,,resources/views/AccountingBatch.xml:28
Direct debit management,Gestion des prélèvements,,resources/views/DirectDebitManagement.xml:16
Direct debit rejects,Rejets de prélèvement,,resources/views/AccountConfig.xml:94
Direct debits,Prélèvements,,resources/views/AccountConfig.xml:90
Direct debits management,Gestion des prélèvements,,"resources/views/DirectDebitManagement.xml:10
resources/views/DirectDebitManagement.xml:6"
Discount,Remise,,resources/views/InvoiceLine.xml:34
Do not shift to irrecoverable,Ne pas passer en irrécouvrable,,"resources/views/MoveLine.xml:57
resources/views/MoveLine.xml:103
resources/views/PaymentSchedule.xml:49"
